Aceri-Tilietum
Acoretum calami
Convolvulo arvensis-Elytrigietum repentis
Conyzo canadensis-Lactucetum serriolae
Corniculario aculeatae-Corynephoretum canescentis
Corrigiolo littoralis-Bidentetum radiatae
Corydalidetum luteae
Crepido conyzifoliae-Calamagrostietum villosae
Crepido paludosae-Juncetum acutiflori
Crepido paludosae-Philonotidetum seriatae
Crypsietum aculeatae
Cryptogrammetum crispae
Cuscuto europaeae-Calystegietum sepium
Cymbalarietum muralis
Cynodontetum dactyli
Cynodonto dactyli-Atriplicetum tataricae
Cyperetum micheliani
Cystopteridetum fragilis
Daphno mezerei-Dryopteridetum filicis-maris
Dauco carotae-Crepidetum rhoeadifoliae
Dauco carotae-Picridetum hieracioidis
Descurainietum sophiae
Descurainio sophiae-Atriplicetum oblongifoliae
Diantho serotini-Festucetum vaginatae
Digitali purpureae-Epilobietum angustifolii
Digitali-Senecionetum ovati
Digitario sanguinalis-Eragrostietum minoris
Drepanoclado fluitantis-Caricetum limosae
Drosero anglicae-Rhynchosporetum albae
Dryopterido dilatatae-Pinetum mugo
Echinochloo cruris-galli-Chenopodietum polyspermi
Eleocharitetum palustris
Eleocharitetum quinqueflorae
Eleocharito-Littorelletum uniflorae
Eleocharito palustris-Hippuridetum vulgaris
Elodeetum canadensis
Elytrigio repentis-Aegopodietum podagrariae
Empetro nigri-Sphagnetum fusci
Epilobio montani-Geranietum robertiani
Equisetetum fluviatilis
Equiseto fluviatilis-Caricetum rostratae
Equiseto sylvatici-Piceetum abietis
Eragrostio minoris-Polygonetum arenastri
Eragrostio poaeoidis-Panicetum capillaris
Eriophoro vaginati-Sphagnetum recurvi
Erophilo vernae-Arabidopsietum thalianae
Erysimo crepidifolii-Festucetum valesiacae
Erysimo diffusi-Agrostietum capillaris
Euphorbio cyparissiae-Callunetum vulgaris
Euphorbio exiguae-Melandrietum noctiflori
Euphorbio-Quercetum
Falcario vulgaris-Elytrigietum repentis
Festuco capillatae-Nardetum strictae
Festuco pallentis-Aurinietum saxatilis
Festuco pallentis-Saxifragetum rosaceae
Festuco-Pinetum sylvestris
Festuco psammophilae-Koelerietum glaucae
Festuco rupicolae-Caricetum humilis
Festuco supinae-Nardetum strictae
Festuco supinae-Vaccinietum myrtilli
Festuco valesiacae-Stipetum capillatae
Festuco-Veronicetum dillenii
Ficario vernae-Ulmetum campestris
Filipendulo ulmariae-Geranietum palustris
Fraxino pannonicae-Ulmetum glabrae
Galeopsietum angustifoliae
Galio odorati-Fagetum sylvaticae
Galio rotundifolii-Abietetum albae
Galio sylvatici-Carpinetum betuli
Genisto pilosae-Quercetum petraeae
Geranio sanguinei-Dictamnetum albae
Geranio sanguinei-Peucedanetum cervariae
Geranio sylvatici-Trisetetum flavescentis
Glycerietum fluitantis
Glycerietum maximae
Glycerietum notatae
Glycerio-Sparganietum neglecti
Groenlandietum densae
Gymnocarpietum robertiani
Gymnocarpio dryopteridis-Athyrietum filicis-feminae
Heleochloëtum schoenoidis
Helichryso arenariae-Festucetum pallentis
Herniarietum glabrae
Hieracio pallidi-Pinetum sylvestris
Holcetum lanati
Holco mollis-Quercetum roboris
Hordeetum murini
Hordeo murini-Brometum sterilis
Hottonietum palustris
Hydrocharitetum morsus-ranae
Hyoscyamo nigri-Conietum maculati
Hyoscyamo nigri-Malvetum neglectae
Chaerophylletum aromatici
Chaerophylletum aurei
Chaerophylletum bulbosi
Chaerophyllo hirsuti-Calthetum palustris
Chaerophyllo hirsuti-Cicerbitetum alpinae
Chaerophyllo hirsuti-Filipenduletum ulmariae
Chamaeplietum officinalis
Charetum braunii
Charetum globularis
Charetum vulgaris
Chelidonio majoris-Robinietum pseudoacaciae
Chenopodietum botryos
Chenopodietum ficifolii
Chenopodietum rubri
Chenopodietum stricti
Chenopodietum urbici
Chenopodio chenopodioidis-Atriplicetum prostratae
Isoëtetum echinosporae
Isoëtetum lacustris
Ivaetum xanthiifoliae
Jasiono montanae-Festucetum ovinae
Juncetum squarrosi
Junco effusi-Calamagrostietum villosae
Junco effusi-Molinietum caeruleae
Junco inflexi-Menthetum longifoliae
Junco subnodulosi-Schoenetum nigricantis
Junco tenageiae-Radioletum linoidis
Junco trifidi-Empetretum hermaphroditi
Junipero communis-Cotoneasteretum integerrimi
Koelerio macranthae-Stipetum joannis
Kochietum densiflorae
Laserpitio archangelicae-Dactylidetum glomeratae
Lathyro collini-Quercetum pubescentis
Lathyro palustris-Gratioletum officinalis
Lathyro tuberosi-Adonidetum aestivalis
Ledo palustris-Pinetum uncinatae
Leersietum oryzoidis
Lemnetum gibbae
Lemnetum minoris
Lemnetum minori-turioniferae
Lemnetum trisulcae
Lemno gibbae-Wolffietum arrhizae
Lemno minoris-Riccietum fluitantis
Lemno-Spirodeletum polyrhizae
Lemno-Utricularietum
Limosello aquaticae-Eleocharitetum acicularis
Linario-Brometum tectorum
Lithospermo purpurocaerulei-Quercetum pubescentis
Lolietum perennis
Lolio perennis-Cynosuretum cristati
Lolio perennis-Matricarietum discoideae
Loto tenuis-Potentilletum anserinae
Luronietum natantis
Luzulo-Abietetum albae
Luzulo luzuloidis-Fagetum sylvaticae
Luzulo luzuloidis-Quercetum petraeae
Lycietum barbari
Lysimachio vulgaris-Filipenduletum ulmariae
Magno-Charetum hispidae
Malvetum pusillae
Malvo neglectae-Chenopodietum vulvariae
Matricario discoideae-Anthemidetum cotulae
Melandrio rubri-Phleetum alpini
Melico pictae-Quercetum roboris
Melico transsilvanicae-Robinietum pseudoacaciae
Melilotetum albo-officinalis
Menyantho trifoliatae-Sphagnetum teretis
Meo athamantici-Festucetum rubrae
Mercurialietum annuae
Mercuriali perennis-Fagetum sylvaticae
Mercuriali perennis-Fraxinetum excelsioris
Minuartio setaceae-Seslerietum caeruleae
Molinietum caeruleae
Myriophylletum alterniflori
Myriophylletum verticillati
Najadetum marinae
Najadetum minoris
Nasturtietum officinalis
Nitelletum flexilis
Notholaeno marantae-Sempervivetum hirti
Nupharetum pumilae
Nymphaeetum albae
Nymphaeetum candidae
Nymphaeo albae-Nupharetum luteae
Nymphoidetum peltatae
Oenanthetum aquaticae
Oenantho aquaticae-Rorippetum amphibiae
Oenothero biennis-Helianthetum tuberosi
Pado borealis-Sorbetum aucupariae
Parvo-Potamo-Zannichellietum pedicellatae
Pastinaco sativae-Arrhenatheretum elatioris
Pellio epiphyllae-Chrysosplenietum oppositifolii
Petasitetum hybridi
Petasitetum hybrido-kablikiani
Peucedano palustris-Caricetum lasiocarpae
Phalaridetum arundinaceae
Phalarido arundinaceae-Bolboschoenetum laticarpi
Philonotido fontanae-Montietum rivularis
Phragmitetum australis
Piceo abietis-Alnetum glutinosae
Piceo abietis-Sorbetum aucupariae
Pilularietum globuliferae
Plantagini arenariae-Senecionetum viscosi
Plantagini maritimae-Caricetum flaccae
Poëtum annuae
Poëtum humili-compressae
Polygalo majoris-Brachypodietum pinnati
Polygonetum arenastri
Polygonetum hydropiperis
Polygono arenastri-Chenopodietum muralis
Polygono bistortae-Cirsietum heterophylli
Polygono brittingeri-Chenopodietum rubri
Polygono-Eleocharitetum ovatae
Polytricho communis-Molinietum caeruleae
Polytricho piliferi-Scleranthetum perennis
Poo annuae-Coronopodetum squamati
Poo badensis-Festucetum pallentis
Poo compressae-Tussilaginetum farfarae
Poo nemoralis-Robinietum pseudoacaciae
Poo-Trisetetum flavescentis
Poo trivialis-Alopecuretum pratensis
Populo tremulae-Coryletum avellanae
Portulacetum oleraceae
Potametum acutifolii
Potametum crispi
Potametum crispo-obtusifolii
Potametum denso-nodosi
Potametum friesii
Potametum graminei
Potametum lucentis
Potametum natantis
Potametum pectinati
Potametum perfoliati
Potametum praelongi
Potametum pusilli
Potametum tenuifolii
Potametum trichoidis
Potametum zizii
Potamo-Ceratophylletum submersi
Potamo crispi-Ranunculetum trichophylli
Potamo natantis-Polygonetum natantis
Potamo pectinati-Myriophylletum spicati
Potamo perfoliati-Ranunculetum circinati
Potentillo albae-Festucetum rubrae
Potentillo argenteae-Artemisietum absinthii
Potentillo heptaphyllae-Festucetum rupicolae
Primulo veris-Carpinetum betuli
Prunello vulgaris-Ranunculetum repentis
Prunetum fruticosae
Prunetum tenellae
Pruno padi-Fraxinetum excelsioris
Pruno spinosae-Ligustretum vulgaris
Pteridietum aquilini
Puccinellietum limosae
Pulicario vulgaris-Menthetum pulegii
Quercetum pubescenti-roboris
Ranunculetum aquatilis
Ranunculetum baudotii
Ranunculetum fluitantis
Ranunculo bulbosi-Arrhenatheretum elatioris
Ranunculo-Juncetum bulbosi
Ranunculo platanifolii-Adenostyletum alliariae
Reynoutrietum japonicae
Rhamno catharticae-Cornetum sanguineae
Rhynchosporo albae-Sphagnetum tenelli
Ribeso alpini-Rosetum pendulinae
Riccietum rhenanae
Ricciocarpetum natantis
Rorippo-Phalaridetum arundinaceae
Rubetum idaei
Rubo idaei-Calamagrostietum arundinaceae
Rudbeckio laciniatae-Solidaginetum canadensis
Rumicetum alpini
Rumici acetosellae-Spergularietum rubrae
Rumici maritimi-Ranunculetum scelerati
Sagino procumbentis-Bryetum argentei
Sagittario sagittifoliae-Sparganietum emersi
Salicetum albae
Salicetum auritae
Salicetum capreae
Salicetum elaeagno-purpureae
Salicetum fragilis
Salicetum lapponum
Salicetum pentandro-auritae
Salicetum purpureae
Salicetum triandrae
Salici purpureae-Myricarietum germanicae
Salici silesiacae-Betuletum carpaticae
Salicornietum prostratae
Salvinio natantis-Spirodeletum polyrhizae
Salvio nemorosae-Marrubietum peregrini
Sambucetum ebuli
Sambucetum nigrae
Sambuco nigrae-Aceretum negundo
Saxifrago oppositifoliae-Festucetum versicoloris
Saxifrago paniculatae-Agrostietum alpinae
Saxifrago paniculatae-Seslerietum caeruleae
Scabioso ochroleucae-Brachypodietum pinnati
Scirpetum radicantis
Scirpetum sylvatici
Scirpo fluitantis-Potametum polygonifolii
Scirpo sylvatici-Caricetum brizoidis
Scirpo sylvatici-Cirsietum cani
Sclerantho annui-Arnoseridetum minimae
Sclerochloo durae-Polygonetum arenastri
Scorpidio scorpioidis-Utricularietum
Scorzonero parviflorae-Juncetum gerardii
Scutellario hastifoliae-Veronicetum longifoliae
Sedo albi-Allietum montani
Senecioni-Epilobietum angustifolii
Senecioni fuchsii-Coryletum avellanae
Senecioni fuchsii-Sambucetum racemosae
Senecioni sylvatici-Galeopsietum ladani
Seselio ossei-Festucetum pallentis
Seslerio albicantis-Tilietum cordatae
Setario pumilae-Echinochloëtum cruris-galli
Setario pumilae-Hibiscetum trioni
Schoenoplectetum lacustris
Schoenoplectetum tabernaemontani
Sicyo angulatae-Echinocystietum lobatae
Sileno otitae-Festucetum brevipilae
Sileno vulgaris-Nardetum strictae
Sisymbrietum altissimi
Sisymbrietum loeselii
Soldanello montanae-Piceetum abietis
Sorbo torminalis-Quercetum
Sparganio minimi-Utricularietum intermediae
Spergulario marginatae-Suaedetum prostratae
Spergulo arvensis-Scleranthetum annui
Sphagno compacti-Molinietum caeruleae
Sphagno-Pinetum sylvestris
Sphagno recurvi-Caricetum lasiocarpae
Sphagno recurvi-Caricetum rostratae
Sphagno-Utricularietum ochroleucae
Sphagno warnstorfii-Eriophoretum latifolii
Stachyo annuae-Setarietum pumilae
Stachyo sylvaticae-Impatientetum noli-tangere
Stellario holosteae-Carpinetum betuli
Stellario nemorum-Alnetum glutinosae
Stellario uliginosae-Isolepidetum setaceae
Stipetum tirsae
Stratiotetum aloidis
Swertietum perennis
Symphyto officinalis-Anthriscetum sylvestris
Tanaceto vulgaris-Artemisietum vulgaris
Teucrio botryos-Melicetum ciliatae
Thelypterido palustris-Alnetum glutinosae
Thelypterido palustris-Phragmitetum australis
Thesio alpini-Nardetum strictae
Thlaspio montani-Pinetum sylvestris
Tolypelletum glomeratae
Tolypello intricatae-Charetum
Torilidetum japonicae
Trapetum natantis
Trifolio alpestris-Geranietum sanguinei
Trifolio medii-Agrimonietum eupatoriae
Trifolio-Melampyretum nemorosi
Trichophoro cespitosi-Sphagnetum compacti
Trichophoro cespitosi-Sphagnetum papillosi
Tripleurospermo inodori-Bolboschoenetum planiculmis
Trollio altissimi-Geranietum sylvatici
Tussilagini farfarae-Calamagrostietum pseudophragmitae
Typhetum angustifoliae
Typhetum latifoliae
Typhetum shuttleworthii
Urtico dioicae-Heracleetum mantegazziani
Urtico dioicae-Parietarietum officinalis
Urtico urentis-Chenopodietum boni-henrici
Utricularietum australis
Vaccinio-Callunetum vulgaris
Vaccinio myrtilli-Abietetum albae
Vaccinio myrtilli-Pinetum sylvestris
Vaccinio-Pinetum montanae
Vaccinio uliginosi-Betuletum pubescentis
Vaccinio uliginosi-Piceetum abietis
Vaccinio uliginosi-Pinetum mugo
Vaccinio uliginosi-Pinetum sylvestris
Vaccinio vitis-idaeae-Quercetum roboris
Valeriano dioicae-Caricetum davallianae
Valeriano simplicifoliae-Caricetum flavae
Veronicetum hederifolio-triphylli
Veronico anagalloidis-Lythretum hyssopifoliae
Veronico-Lamietum hybridi
Violo hirtae-Cornetum maris
Violo sudeticae-Deschampsietum cespitosae
Viscario vulgaris-Avenuletum pratensis
Viscario vulgaris-Quercetum petraeae
Vulpietum myuri
Woodsio ilvensis-Asplenietum septentrionalis
